title,genre,aired,episodes,members,popularity,ranked,score
Fight!!,"['Action', 'Fantasy', 'Supernatural']","Jun 18, 1993",1.0,906,9715,10817.0,5.05
Inazuma Eleven: Orion no Kokuin,['Sports'],"Oct 5, 2018 to Sep 27, 2019",49.0,8897,4567,4059.0,6.93
Cofun Gal no Coffy Campus Life Specials,"['Comedy', 'Parody']","Dec 18, 2009 to Mar 19, 2010",5.0,105,15214,11831.0,6.0
Minna Atsumare! Falcom Gakuen,"['Parody', 'Comedy', 'School', 'Seinen']","Jan 5, 2014 to Mar 30, 2014",13.0,4186,6173,8697.0,5.89
Hello Kitty no Hajimete no Christmas Cake,['Kids'],"Oct 21, 1998",1.0,164,14093,12253.0,6.29
Ijime wa Zettai Warui!,"['Drama', 'School', 'Slice of Life']",2007,1.0,101,15274,12399.0,6.13
Black Jack: Karte NG Extras,['Comedy'],"Apr 4, 2007",1.0,981,9570,6898.0,6.33
Turning Mecard,"['Game', 'Adventure', 'Cars', 'Kids', 'Mecha']","Feb 3, 2015 to Feb 5, 2016",52.0,382,11622,7874.0,6.13
Bokura Machi Bouzu!,"['Music', 'Kids']","Oct 2, 1998",1.0,124,14804,11669.0,4.24
Bakujuu Gasshin Ziguru Hazeru,"['Action', 'Mecha']","Apr 6, 2013 to Dec, 2013",6.0,393,11545,11614.0,4.38
Tenbatsu Angel Rabbie☆,"['Magic', 'Comedy', 'Sci-Fi']","Jan 23, 2004",1.0,1527,8580,10686.0,5.15
Ganbare! Moudouken Serve,['Slice of Life'],"Dec 18, 1988",1.0,166,14007,12072.0,5.85
Yume no Crayon Oukoku,"['Adventure', 'Fantasy', 'Comedy', 'Shoujo']","Sep 7, 1997 to Jan 31, 1999",70.0,2227,7690,3410.0,7.1
Yatterman,"['Adventure', 'Comedy', 'Parody']","Jan 14, 2008 to May 11, 2009",60.0,3215,6843,5166.0,6.69
Wingcle Bear Hamkkehaneun Lomentig Hwaiteudei,['Magic'],"Mar 7, 2013",1.0,186,13661,10765.0,5.1
Zephyr,"['Music', 'Drama']","Oct 11, 2014",1.0,1986,7982,7225.0,6.27
Nagasarete Airantou,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'Fantasy', 'Shounen']","Apr 5, 2007 to Sep 27, 2007",26.0,68349,1528,2338.0,7.35
"Wake Up, Girls! Shichinin no Idol","['Drama', 'Music']","Jan 10, 2014",1.0,19241,3255,3025.0,7.19
Overlord II,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']","Jan 9, 2018 to Apr 3, 2018",13.0,443731,172,700.0,7.91
D.C.: Da Capo,"['Harem', 'Drama', 'Magic', 'Romance']","Jul 5, 2003 to Dec 27, 2003",26.0,62448,1620,4445.0,6.83
Pokemon: Aki no Special,"['Action', 'Adventure', 'Kids', 'Fantasy']","Oct 7, 1997",1.0,433,11340,8428.0,5.98
Shion no Ou,"['Drama', 'Game', 'Mystery', 'Thriller']","Oct 14, 2007 to Mar 23, 2008",22.0,25921,2780,1423.0,7.6
Keitai Shoujo,"['Comedy', 'Romance', 'School', 'Drama']","Mar 20, 2007 to Apr 17, 2007",6.0,4446,6032,10265.0,5.36
Mouretsu Pirates,"['Sci-Fi', 'Space']","Jan 8, 2012 to Jul 1, 2012",26.0,61453,1637,2972.0,7.2
Pokemon XY,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Oct 17, 2013 to Oct 22, 2015",93.0,69173,1522,2210.0,7.38
Kutsuya to Kobito,"['Fantasy', 'Kids']",1960,1.0,131,14705,12835.0,5.29
Gosenzo-sama Banbanzai!,"['Sci-Fi', 'Comedy', 'Psychological', 'Drama']","Aug 5, 1989 to Jan 25, 1990",6.0,4544,5981,2366.0,7.34
Ski Jumping Pairs: Road to Torino 2006,"['Sports', 'Comedy']","Jan 28, 2006",1.0,344,11840,10875.0,5.01
Tsuyu no Hito Shizuku,['Historical'],"Aug 1, 2006",1.0,293,12195,14310.0,6.57
Hinomaru Hatanosuke: Bakemonoyashiki no Maki,['Supernatural'],1935,1.0,828,9908,11099.0,4.8
Boku to Sakana no Monogatari,"['Music', 'Kids']","Dec 1, 2017",1.0,95,15405,11661.0,4.97
Bemubemu Hunter Kotengu Tenmaru,"['Adventure', 'Fantasy']","May 26, 1983 to Oct 27, 1983",19.0,249,12669,11633.0,5.51
Yakyuubu Aruaru,['Sports'],"Jul 9, 2015 to Jul 11, 2015",3.0,265,12513,14506.0,4.12
The iDOLM@STER Cinderella Girls 2nd Anniversary PV,['Music'],"Nov 28, 2013",1.0,3527,6608,3920.0,6.97
Rennyo to Sono Haha,['Historical'],"Oct 7, 1981",1.0,251,12643,13639.0,6.17
Honoo no Labyrinth,"['Adventure', 'Comedy', 'Ecchi', 'Samurai']","Sep 25, 2000 to Dec 21, 2000",2.0,7820,4788,7004.0,6.31
Xiong Chumo Zhi: Tanxian Riji,"['Adventure', 'Comedy', 'Kids']","Nov 28, 2017 to Dec 1, 2017",52.0,112,15126,14492.0,5.12
Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!,"['Adventure', 'Comedy', 'Shounen']","Jul 20, 1986",1.0,3328,6766,9305.0,5.7
One Piece 3D: Mugiwara Chase,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']","Mar 19, 2011",1.0,34897,2354,3047.0,7.18
Hibike! Euphonium,"['Music', 'School', 'Drama']","Apr 8, 2015 to Jul 1, 2015",13.0,261912,378,543.0,8.02
gdMen,"['Comedy', 'Fantasy']","Jan 9, 2018 to Mar 27, 2018",12.0,2204,7727,8496.0,5.95
Capsule Boy,"['Sci-Fi', 'Kids']","May 15, 2016 to Dec 2, 2016",26.0,111,15104,11707.0,5.8
Mannaka no Rikkun@Kin Tele,"['Comedy', 'Seinen']","Jan 9, 2019 to Mar 27, 2019",12.0,298,12161,12985.0,5.31
Strike the Blood II,"['Action', 'Supernatural', 'Ecchi', 'Vampire', 'Fantasy']","Nov 23, 2016 to May 24, 2017",8.0,104613,1067,2890.0,7.22
Chikyuu Bouei Kazoku Special,"['Action', 'Game', 'Drama']","Nov 25, 2002",1.0,360,11724,6807.0,6.35
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']","Dec 13, 2008",1.0,162675,679,1440.0,7.59
Saint☆Oniisan,"['Comedy', 'Seinen', 'Slice of Life']","Dec 3, 2012 to Aug 23, 2013",2.0,60012,1669,1521.0,7.57
Gantz,"['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Ecchi']","Apr 13, 2004 to Jun 22, 2004",13.0,247317,405,3221.0,7.14
Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,"['Action', 'Mystery', 'Comedy', 'Romance']","Dec 21, 2011",1.0,44753,2042,4245.0,6.88
Arcana Famiglia: Capriccio - stile Arcana Famiglia,"['Romance', 'Shoujo']","Mar 27, 2013",1.0,17589,3401,4272.0,6.87
Peaceful Times (F02) Petit Film,['Music'],"Nov 23, 2013",1.0,3017,7004,11009.0,4.89
Captain Tsubasa,"['Action', 'Shounen', 'Sports']","Oct 13, 1983 to Mar 27, 1986",128.0,55482,1765,2318.0,7.35
Hello Kitty no Momotarou,"['Fantasy', 'Kids']","Oct 26, 2001",1.0,270,12452,8352.0,6.0
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Shiiron Tankentai! Sumidagawa no Chikai - Omoide n,"['Comedy', 'Police']","Aug 5, 2007 to Aug 12, 2007",2.0,299,12172,4956.0,6.73
Jungle Taitei: Yuuki ga Mirai wo Kaeru,['Adventure'],"Sep 5, 2009",1.0,1664,8369,3381.0,7.1
Okusama ga Seitokaichou!,"['Comedy', 'Ecchi', 'Romance', 'School', 'Shounen']","Jul 2, 2015 to Sep 17, 2015",12.0,175500,623,4757.0,6.77
Mobile Suit Gundam: Char's Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Mar 12, 1988",1.0,29248,2604,1081.0,7.73
Bang Babang Bang!!!,['Music'],"Mar 22, 2017",1.0,712,10215,10363.0,5.31
Osiris no Tenbin,"['Drama', 'Supernatural', 'Thriller']","Aug 1, 2015 to Sep 23, 2015",10.0,1870,8103,9333.0,5.69
Sky Girls Specials,"['Comedy', 'Mecha', 'Military', 'Sci-Fi']","Nov 13, 2007 to Jun 25, 2008",9.0,3426,6682,5597.0,6.6
Uchuu Senkan Tiramisù Specials,"['Sci-Fi', 'Slice of Life', 'Space', 'Comedy', 'Mecha', 'Seinen']","Jun 27, 2018 to Jul 25, 2018",3.0,2582,7355,6797.0,6.36
Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou,"['Action', 'Sci-Fi', 'Space', 'Super Power', 'Shounen']","Sep 25, 1996",1.0,375,11657,7074.0,6.3
The Crater,['Music'],"Jan 30, 2019",1.0,86,15624,14197.0,4.28
.hack//G.U. Trilogy,"['Action', 'Fantasy', 'Game', 'Sci-Fi']","Mar 25, 2008",1.0,27574,2693,2899.0,7.21
Shibawanko no Wa no Kokoro,['Kids'],"Apr 5, 2006 to Mar 14, 2007",80.0,528,10875,13803.0,6.43
"Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season e, Mata?","['Comedy', 'Parody', 'Super Power']","Jan 15, 2018 to Jun 25, 2018",24.0,186,13669,13776.0,5.0
Fumiko no Kokuhaku,['Comedy'],"Nov 8, 2009",1.0,20454,3155,5074.0,6.7
Oshiete♡Namie-sensei!,['School'],"Feb 5, 2018",2.0,97,15396,13451.0,4.32
Ougon Yuusha Goldran,"['Action', 'Sci-Fi', 'Adventure', 'Fantasy', 'Mecha', 'Shounen']","Feb 4, 1995 to Jan 27, 1996",48.0,1655,8385,3355.0,7.1
Ukkari Pénélope OVA,['Fantasy'],"Nov 23, 2007",2.0,188,13620,14351.0,5.5600000000000005
Wangpai Yushi Di 0 Ji,"['Comedy', 'Fantasy', 'School', 'Shounen', 'Supernatural']",2014,1.0,935,9667,7223.0,6.27
Taiyou no Yuusha Fighbird,"['Action', 'Mecha', 'Sci-Fi']","Feb 2, 1991 to Feb 1, 1992",48.0,2041,7908,3239.0,7.14
Mirai Shounen Conan: Kyodaiki Gigant no Fukkatsu,"['Sci-Fi', 'Adventure', 'Drama']","Mar 11, 1984",1.0,1215,9116,4609.0,6.8
